risk_level,mean_terminal_value,std_terminal_value,mean_present_value,thin_rate
low,944.4550133507157,790.5395049123779,218.5255913593227,0.0
medium,353.2786738633985,720.0035950521758,81.74071822303802,0.0
high,-107.96373816487586,417.4220154867435,-24.980374283938037,0.0
