,VLLN,LLN,MLN,HLN,VHLN,VLMN,LMN,MMN,HMN,VHMN,VLHN,LHN,MHN,HHN,VHHN,VLVHN,LVHN,MVHN,HVHN,VHVHN,VLLD,LLD,MLD,HLD,VHLD,VLMD,LMD,MMD,HMD,VHMD,VLHD,LHD,MHD,HHD,VHHD,VLVHD,LVHD,MVHD,HVHD,VHVHD
VLHD,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0
LHD,0.0,0.0,0.0,0.0,0.0,0.086,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0
MHD,0.0,0.274,0.132,0.0,0.0,0.0,0.046,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.288,0.126,0.0,0.0,0.0,0.054,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0
HHD,0.0,0.014,0.438,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.014,0.478,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0
VHHD,0.0,0.0,0.006,0.004,0.0,0.0,0.0,0.034,0.428,0.018,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.068,0.384,0.014,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0
VLVHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0
LVHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.418,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.35,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0
MVHD,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.332,0.124,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.32,0.166,0.0,0.0,0.014,0.0,0.0,0.0,0.0
HVHD,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.428,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.408,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
VHVHD,0.0,0.0,0.002,0.008,0.0,0.0,0.0,0.046,0.41,0.02,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.006,0.0,0.0,0.0,0.058,0.396,0.016,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0
